,accelerator_host_interconnect,accelerator_interconnect,accelerator_memory_capacity,accelerator_memory_configuration,accelerator_model_name,accelerators_per_node,framework,host_memory_capacity,host_processor_core_count,host_processor_model_name,host_processors_per_node,host_storage_type,operating_system,other_software_stack,latency_ns,samples_ps
36,PCIe Gen5 x16,"18x 4th Gen NVLink, 900GB/s",141 GB,HBM3,NVIDIA H200-SXM-141GB,8,"TensorRT 10.2.0, CUDA 12.4",2 TB,56,Intel(R) Xeon(R) Platinum 8480C,2,"NVMe SSD, CIFS mounted disk storage",Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.00065708946,57609.0
37,PCIe Gen5 x16,"18x 4th Gen NVLink, 900GB/s",141 GB,HBM3,NVIDIA H200-SXM-141GB,8,"TensorRT 10.2.0, CUDA 12.4",2 TB,56,Intel(R) Xeon(R) Platinum 8480C,2,"NVMe SSD, CIFS mounted disk storage",Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.00021252055,38279.0
37,PCIe Gen5 x16,"18x 4th Gen NVLink, 900GB/s",141 GB,HBM3,NVIDIA H200-SXM-141GB,8,"TensorRT 10.2.0, CUDA 12.4",2 TB,56,Intel(R) Xeon(R) Platinum 8480C,2,"NVMe SSD, CIFS mounted disk storage",Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.00036627514,39919.0
37,PCIe Gen5 x16,"18x 4th Gen NVLink, 900GB/s",141 GB,HBM3,NVIDIA H200-SXM-141GB,8,"TensorRT 10.2.0, CUDA 12.4",2 TB,56,Intel(R) Xeon(R) Platinum 8480C,2,"NVMe SSD, CIFS mounted disk storage",Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.00095663598,41599.0
37,PCIe Gen5 x16,"18x 4th Gen NVLink, 900GB/s",141 GB,HBM3,NVIDIA H200-SXM-141GB,8,"TensorRT 10.2.0, CUDA 12.4",2 TB,56,Intel(R) Xeon(R) Platinum 8480C,2,"NVMe SSD, CIFS mounted disk storage",Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.00097012167,41599.0
46,,"8x 4th Gen NVLink, 900GB/s",80 GB,HBM3,NVIDIA H100-SXM-80GB,8,"TensorRT 10.2.0, CUDA 12.4",2048GB,48,Intel(R) Xeon(R) Platinum 8468,2,"NVMe SSD, CIFS mounted disk storage",22.04.4 LTS,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 555.42.06",0.00031953529,52271.0
46,,"8x 4th Gen NVLink, 900GB/s",80 GB,HBM3,NVIDIA H100-SXM-80GB,8,"TensorRT 10.2.0, CUDA 12.4",2048GB,48,Intel(R) Xeon(R) Platinum 8468,2,"NVMe SSD, CIFS mounted disk storage",22.04.4 LTS,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 555.42.06",0.00051068411,54515.0
46,,"8x 4th Gen NVLink, 900GB/s",80 GB,HBM3,NVIDIA H100-SXM-80GB,8,"TensorRT 10.2.0, CUDA 12.4",2048GB,48,Intel(R) Xeon(R) Platinum 8468,2,"NVMe SSD, CIFS mounted disk storage",22.04.4 LTS,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 555.42.06",0.00097357507,56729.0
46,,"8x 4th Gen NVLink, 900GB/s",80 GB,HBM3,NVIDIA H100-SXM-80GB,8,"TensorRT 10.2.0, CUDA 12.4",2048GB,48,Intel(R) Xeon(R) Platinum 8468,2,"NVMe SSD, CIFS mounted disk storage",22.04.4 LTS,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 555.42.06",0.00031953529,52271.0
46,,"8x 4th Gen NVLink, 900GB/s",80 GB,HBM3,NVIDIA H100-SXM-80GB,8,"TensorRT 10.2.0, CUDA 12.4",2048GB,48,Intel(R) Xeon(R) Platinum 8468,2,"NVMe SSD, CIFS mounted disk storage",22.04.4 LTS,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 555.42.06",0.00051068411,54515.0
47,,"4x 4th Gen NVLink, 900GB/s",94 GB,HBM3,NVIDIA H100-NVL-94GB,4,"TensorRT 10.2.0, CUDA 12.4",1024GB,32,INTEL(R) XEON(R) GOLD 6530,2,"NVMe SSD, NFS mounted disk storage",Ubuntu 22.04.4 LTS,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 535.183.01",0.00025035956,17664.0
47,,"4x 4th Gen NVLink, 900GB/s",94 GB,HBM3,NVIDIA H100-NVL-94GB,4,"TensorRT 10.2.0, CUDA 12.4",1024GB,32,INTEL(R) XEON(R) GOLD 6530,2,"NVMe SSD, NFS mounted disk storage",Ubuntu 22.04.4 LTS,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 535.183.01",0.00037038309,18424.0
47,,"4x 4th Gen NVLink, 900GB/s",94 GB,HBM3,NVIDIA H100-NVL-94GB,4,"TensorRT 10.2.0, CUDA 12.4",1024GB,32,INTEL(R) XEON(R) GOLD 6530,2,"NVMe SSD, NFS mounted disk storage",Ubuntu 22.04.4 LTS,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 535.183.01",0.00072756743,19202.0
47,,"4x 4th Gen NVLink, 900GB/s",94 GB,HBM3,NVIDIA H100-NVL-94GB,4,"TensorRT 10.2.0, CUDA 12.4",1024GB,32,INTEL(R) XEON(R) GOLD 6530,2,"NVMe SSD, NFS mounted disk storage",Ubuntu 22.04.4 LTS,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 535.183.01",0.00025035956,17664.0
47,,"4x 4th Gen NVLink, 900GB/s",94 GB,HBM3,NVIDIA H100-NVL-94GB,4,"TensorRT 10.2.0, CUDA 12.4",1024GB,32,INTEL(R) XEON(R) GOLD 6530,2,"NVMe SSD, NFS mounted disk storage",Ubuntu 22.04.4 LTS,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 535.183.01",0.00037038309,18424.0
48,PCIe Gen5 Switch,,48 GB,HBM2e,NVIDIA L40S,4,"TensorRT 9.0.0, CUDA 12.4",1024GB,60,Intel(R) Xeon(R) Platinum 8580,2,NVMe SSD,Ubuntu 22.04.3,"TensorRT 9.3.0, CUDA 12.4, Driver 535.183.01",0.00013649682,11870.0
48,PCIe Gen5 Switch,,48 GB,HBM2e,NVIDIA L40S,4,"TensorRT 9.0.0, CUDA 12.4",1024GB,60,Intel(R) Xeon(R) Platinum 8580,2,NVMe SSD,Ubuntu 22.04.3,"TensorRT 9.3.0, CUDA 12.4, Driver 535.183.01",0.00014898068,12381.0
48,PCIe Gen5 Switch,,48 GB,HBM2e,NVIDIA L40S,4,"TensorRT 9.0.0, CUDA 12.4",1024GB,60,Intel(R) Xeon(R) Platinum 8580,2,NVMe SSD,Ubuntu 22.04.3,"TensorRT 9.3.0, CUDA 12.4, Driver 535.183.01",0.00017131647,12904.0
61,PCIe Gen5 x16,"18x 4th Gen NVLink, 900GB/s",141 GB,HBM3e,NVIDIA H200-SXM-141GB,8,"TensorRT 10.2.0, CUDA 12.5",1.5 TB,48,AMD EPYC 9454,2,NVMe SSD,Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 555.42",0.00022786109,52270.0
61,PCIe Gen5 x16,"18x 4th Gen NVLink, 900GB/s",141 GB,HBM3e,NVIDIA H200-SXM-141GB,8,"TensorRT 10.2.0, CUDA 12.5",1.5 TB,48,AMD EPYC 9454,2,NVMe SSD,Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 555.42",0.00031868635,54516.0
61,PCIe Gen5 x16,"18x 4th Gen NVLink, 900GB/s",141 GB,HBM3e,NVIDIA H200-SXM-141GB,8,"TensorRT 10.2.0, CUDA 12.5",1.5 TB,48,AMD EPYC 9454,2,NVMe SSD,Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 555.42",0.00053825685,56811.0
64,PCIe Gen5 x16,"18x 4th Gen NVLink, 900GB/s",141 GB,HBM3e,NVIDIA H200-SXM-141GB,8,"TensorRT 10.2.0, CUDA 12.4",2 TB,48,Intel(R) Xeon(R) Platinum 8568Y+,2,NVMe SSD,Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.00021026358,51533.0
64,PCIe Gen5 x16,"18x 4th Gen NVLink, 900GB/s",141 GB,HBM3e,NVIDIA H200-SXM-141GB,8,"TensorRT 10.2.0, CUDA 12.4",2 TB,48,Intel(R) Xeon(R) Platinum 8568Y+,2,NVMe SSD,Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.00027516512,53747.0
64,PCIe Gen5 x16,"18x 4th Gen NVLink, 900GB/s",141 GB,HBM3e,NVIDIA H200-SXM-141GB,8,"TensorRT 10.2.0, CUDA 12.4",2 TB,48,Intel(R) Xeon(R) Platinum 8568Y+,2,NVMe SSD,Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.00040296934,56012.0
65,,,48 GB,GDDR6,NVIDIA L40S,3,"TensorRT 10.2.0, CUDA 12.5",512 GB,32,Intel(R) Xeon(R) Gold 6438N,2,NVMe SSD,Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.5, cuDNN 8.9.7, Driver 555.42",0.00015490788,8558.0
65,,,48 GB,GDDR6,NVIDIA L40S,3,"TensorRT 10.2.0, CUDA 12.5",512 GB,32,Intel(R) Xeon(R) Gold 6438N,2,NVMe SSD,Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.5, cuDNN 8.9.7, Driver 555.42",0.00017127728,8926.0
65,,,48 GB,GDDR6,NVIDIA L40S,3,"TensorRT 10.2.0, CUDA 12.5",512 GB,32,Intel(R) Xeon(R) Gold 6438N,2,NVMe SSD,Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.5, cuDNN 8.9.7, Driver 555.42",0.00020218259,9302.0
66,PCIe Gen4 x16,"18x 4th Gen NVLink, 600GB/s",94 GB,HBM3,NVIDIA H100-NVL-94GB,8,"TensorRT 10.2.0, CUDA 12.5",3 TB,84,AMD EPYC 9634 84-Core Processor,2,NVMe SSD,Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.5, cuDNN 8.9.7, Driver 555.42",8.760307e-05,32207.0
66,PCIe Gen4 x16,"18x 4th Gen NVLink, 600GB/s",94 GB,HBM3,NVIDIA H100-NVL-94GB,8,"TensorRT 10.2.0, CUDA 12.5",3 TB,84,AMD EPYC 9634 84-Core Processor,2,NVMe SSD,Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.5, cuDNN 8.9.7, Driver 555.42",0.00010866342,33585.0
66,PCIe Gen4 x16,"18x 4th Gen NVLink, 600GB/s",94 GB,HBM3,NVIDIA H100-NVL-94GB,8,"TensorRT 10.2.0, CUDA 12.5",3 TB,84,AMD EPYC 9634 84-Core Processor,2,NVMe SSD,Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.5, cuDNN 8.9.7, Driver 555.42",0.00015258367,35006.0
75,PCIe Gen5 x16,"18x 4th Gen NVLink, 900GB/s",141 GB,HBM3e,NVIDIA H200-SXM-141GB,8,"TensorRT 10.2.0, CUDA 12.4",2 TB,56,Intel(R) Xeon(R) Platinum 8480C,2,"NVMe SSD, CIFS mounted disk storage",Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.00025576306,53006.0
75,PCIe Gen5 x16,"18x 4th Gen NVLink, 900GB/s",141 GB,HBM3e,NVIDIA H200-SXM-141GB,8,"TensorRT 10.2.0, CUDA 12.4",2 TB,56,Intel(R) Xeon(R) Platinum 8480C,2,"NVMe SSD, CIFS mounted disk storage",Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.00036904921,55284.0
75,PCIe Gen5 x16,"18x 4th Gen NVLink, 900GB/s",141 GB,HBM3e,NVIDIA H200-SXM-141GB,8,"TensorRT 10.2.0, CUDA 12.4",2 TB,56,Intel(R) Xeon(R) Platinum 8480C,2,"NVMe SSD, CIFS mounted disk storage",Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.00065708946,57609.0
76,PCIe Gen5 x16,"18x 4th Gen NVLink, 900GB/s",141 GB,HBM3e,NVIDIA H200-SXM-141GB,8,"TensorRT 10.2.0, CUDA 12.4",2 TB,56,Intel(R) Xeon(R) Platinum 8480C,2,"NVMe SSD, CIFS mounted disk storage",Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.00021252055,38279.0
76,PCIe Gen5 x16,"18x 4th Gen NVLink, 900GB/s",141 GB,HBM3e,NVIDIA H200-SXM-141GB,8,"TensorRT 10.2.0, CUDA 12.4",2 TB,56,Intel(R) Xeon(R) Platinum 8480C,2,"NVMe SSD, CIFS mounted disk storage",Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.00036627514,39919.0
76,PCIe Gen5 x16,"18x 4th Gen NVLink, 900GB/s",141 GB,HBM3e,NVIDIA H200-SXM-141GB,8,"TensorRT 10.2.0, CUDA 12.4",2 TB,56,Intel(R) Xeon(R) Platinum 8480C,2,"NVMe SSD, CIFS mounted disk storage",Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.00095663598,41599.0
76,PCIe Gen5 x16,"18x 4th Gen NVLink, 900GB/s",141 GB,HBM3e,NVIDIA H200-SXM-141GB,8,"TensorRT 10.2.0, CUDA 12.4",2 TB,56,Intel(R) Xeon(R) Platinum 8480C,2,"NVMe SSD, CIFS mounted disk storage",Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.00097012167,41599.0
79,NVLink-C2C,1x 400Gbe Infiniband,96 GB,HBM3,NVIDIA GH200 Grace Hopper Superchip 96GB,1,"TensorRT 10.2.0, CUDA 12.4",512 GB,72,NVIDIA Grace CPU,1,"NVMe SSD, Block storage",Ubuntu 22.04.2,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.6, Driver 550.90.07, DALI 1.28.0",0.00015536539,5981.0
79,NVLink-C2C,1x 400Gbe Infiniband,96 GB,HBM3,NVIDIA GH200 Grace Hopper Superchip 96GB,1,"TensorRT 10.2.0, CUDA 12.4",512 GB,72,NVIDIA Grace CPU,1,"NVMe SSD, Block storage",Ubuntu 22.04.2,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.6, Driver 550.90.07, DALI 1.28.0",0.00018112506,6234.0
79,NVLink-C2C,1x 400Gbe Infiniband,96 GB,HBM3,NVIDIA GH200 Grace Hopper Superchip 96GB,1,"TensorRT 10.2.0, CUDA 12.4",512 GB,72,NVIDIA Grace CPU,1,"NVMe SSD, Block storage",Ubuntu 22.04.2,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.6, Driver 550.90.07, DALI 1.28.0",0.00021884182,6501.0
79,NVLink-C2C,1x 400Gbe Infiniband,96 GB,HBM3,NVIDIA GH200 Grace Hopper Superchip 96GB,1,"TensorRT 10.2.0, CUDA 12.4",512 GB,72,NVIDIA Grace CPU,1,"NVMe SSD, Block storage",Ubuntu 22.04.2,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.6, Driver 550.90.07, DALI 1.28.0",0.00021858125,6533.0
79,NVLink-C2C,1x 400Gbe Infiniband,96 GB,HBM3,NVIDIA GH200 Grace Hopper Superchip 96GB,1,"TensorRT 10.2.0, CUDA 12.4",512 GB,72,NVIDIA Grace CPU,1,"NVMe SSD, Block storage",Ubuntu 22.04.2,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.6, Driver 550.90.07, DALI 1.28.0",0.00027274582,6810.0
79,NVLink-C2C,1x 400Gbe Infiniband,96 GB,HBM3,NVIDIA GH200 Grace Hopper Superchip 96GB,1,"TensorRT 10.2.0, CUDA 12.4",512 GB,72,NVIDIA Grace CPU,1,"NVMe SSD, Block storage",Ubuntu 22.04.2,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.6, Driver 550.90.07, DALI 1.28.0",0.00036022679,7103.0
79,NVLink-C2C,1x 400Gbe Infiniband,96 GB,HBM3,NVIDIA GH200 Grace Hopper Superchip 96GB,1,"TensorRT 10.2.0, CUDA 12.4",512 GB,72,NVIDIA Grace CPU,1,"NVMe SSD, Block storage",Ubuntu 22.04.2,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.6, Driver 550.90.07, DALI 1.28.0",0.00015536539,5981.0
79,NVLink-C2C,1x 400Gbe Infiniband,96 GB,HBM3,NVIDIA GH200 Grace Hopper Superchip 96GB,1,"TensorRT 10.2.0, CUDA 12.4",512 GB,72,NVIDIA Grace CPU,1,"NVMe SSD, Block storage",Ubuntu 22.04.2,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.6, Driver 550.90.07, DALI 1.28.0",0.00018112506,6234.0
81,PCIe Gen5 x16,"PCIe Gen5 x16, NVLink 600GB/s",80 GB,HBM2e,NVIDIA H100-PCIe-80GB,4,"TensorRT 10.2.0.19, CUDA 12.4",1 TB,52,Intel(R) Xeon(R) Platinum 8470,2,NVMe SSD 3.5TB x 4,Rocky Linux 9.2,"CUDA 12.4, cuDNN 8.9.7.29, Driver 550.90.07",0.00025189296,16341.0
81,PCIe Gen5 x16,"PCIe Gen5 x16, NVLink 600GB/s",80 GB,HBM2e,NVIDIA H100-PCIe-80GB,4,"TensorRT 10.2.0.19, CUDA 12.4",1 TB,52,Intel(R) Xeon(R) Platinum 8470,2,NVMe SSD 3.5TB x 4,Rocky Linux 9.2,"CUDA 12.4, cuDNN 8.9.7.29, Driver 550.90.07",0.000366441,17043.0
81,PCIe Gen5 x16,"PCIe Gen5 x16, NVLink 600GB/s",80 GB,HBM2e,NVIDIA H100-PCIe-80GB,4,"TensorRT 10.2.0.19, CUDA 12.4",1 TB,52,Intel(R) Xeon(R) Platinum 8470,2,NVMe SSD 3.5TB x 4,Rocky Linux 9.2,"CUDA 12.4, cuDNN 8.9.7.29, Driver 550.90.07",0.00055456258,17759.0
82,PCIe Gen4 x16,PCIe Gen4 x16,48 GB,GDDR6,NVIDIA L40S,4,"TensorRT 10.2.0.19, CUDA 12.4",1 TB,44,Intel(R) Xeon(R) Platinum 8458P,2,NVMe SSD 7TB x 4,Rocky Linux 9.2,"CUDA 12.4, Driver 550.54.15",0.00015893238,11042.0
82,PCIe Gen4 x16,PCIe Gen4 x16,48 GB,GDDR6,NVIDIA L40S,4,"TensorRT 10.2.0.19, CUDA 12.4",1 TB,44,Intel(R) Xeon(R) Platinum 8458P,2,NVMe SSD 7TB x 4,Rocky Linux 9.2,"CUDA 12.4, Driver 550.54.15",0.00017613281,11517.0
82,PCIe Gen4 x16,PCIe Gen4 x16,48 GB,GDDR6,NVIDIA L40S,4,"TensorRT 10.2.0.19, CUDA 12.4",1 TB,44,Intel(R) Xeon(R) Platinum 8458P,2,NVMe SSD 7TB x 4,Rocky Linux 9.2,"CUDA 12.4, Driver 550.54.15",0.00021017452,12002.0
